renounce,renounces
repair,repairs
repeat,repeats
replace,replaces
reply,replies
report,reports
request,requests
resell,resells
resemble,resembles
reset,resets
resist,resists
resolve,resolves
respect,respects
rest,rests
restrain,restrains
retain,retains
retch,retches
retire,retires
return,returns
reuse,reuses
review,reviews
rewind,rewinds
rid,rids
ride,rides
ring,rings
rise,rises
roar,roars
rob,robs
roll,rolls
rot,rots
rub,rubs
rule,rules
run,runs
rush,rushes
sabotage,sabotages
sack,sacks
sacrifice,sacrifices
sadden,saddens
saddle,saddles
sag,sags
sail,sails
sally,sallies
salute,salutes
salvage,salvages
salve,salves
sample,samples
sanctify,sanctifies
sanction,sanctions
sap,saps
saponify,saponifies
sash,sashes
sashay,sashays
sass,sasses
sate,sates
satiate,satiates
satirise,satirises
satisfy,satisfies
saturate,saturates
saunter,saunters
save,saves
savor,savors
savvy,savvies
saw,saws
say,says
scab,scabs
scabble,scabbles
scald,scalds
scale,scales
scam,scams
scan,scans
scant,scants
scar,scars
scare,scares
scarify,scarifies
scarp,scarps
scat,scats
scatter,scatters
scold,scolds
scorch,scorches
scowl,scowls
scrawl,scrawls
scream,screams
screw,screws
scrub,scrubs
search,searches
seat,seats
secure,secures
see,sees
seek,seeks
seem,seems
seize,seizes
select,selects
sell,sells
send,sends
sentence,sentences
separate,separates
set,sets
sever,severs
sew,sews
shake,shakes
shape,shapes
share,shares
shatter,shatters
shave,shaves
shear,shears
shed,sheds
shine,shines
shirk,shirks
shit,shits
shiver,shivers
shock,shocks
shoe,shoes
shoot,shoots
shorten,shortens
shout,shouts
show,shows
shrink,shrinks
shun,shuns
shut,shuts
sight,sights
signal,signals
signify,signifies
sing,sings
sink,sinks
sip,sips
sit,sits
ski,skis
skid,skids
slam,slams
slay,slays
sleep,sleeps
slide,slides
slim,slims
sling,slings
slink,slinks
slip,slips
slit,slits
smash,smashes
smell,smells
smile,smiles
smite,smites
smooth,smoothes
smother,smothers
snap,snaps
snatch,snatches
sneak,sneaks
sneeze,sneezes
sniff,sniffs
soar,soars
sob,sobs
solicit,solicits
solve,solves
soothe,soothes
sort,sorts
sow,sows
sparkle,sparkles
speak,speaks
speed,speeds
spell,spells
spend,spends
spill,spills
spin,spins
spit,spits
split,splits
spoil,spoils
spray,sprays
spread,spreads
spring,springs
sprout,sprouts
squeeze,squeezes
stand,stands
stare,stares
start,starts
state,states
stay,stays
steal,steals
steep,steeps
stem,stems
step,steps
sterilize,sterilizes
stick,sticks
stimulate,stimulates
sting,stings
stink,stinks
stir,stirs
stitch,stitches
stoop,stoops
stop,stops
store,stores
strain,strains
stray,strays
stress,stresses
stretch,stretches
strew,strews
stride,strides
strike,strikes
string,strings
strive,strives
study,studies
submit,submits
subscribe,subscribes
subtract,subtracts
succeed,succeeds
suck,sucks
suffer,suffers
suggest,suggests
summon,summons
supply,supplies
support,supports
suppose,supposes
surge,surges
surmise,surmises
surpass,surpasses
surround,surrounds
survey,surveys
survive,survives
swallow,swallows
sway,sways
swear,swears
sweat,sweats
sweep,sweeps
swell,swells
swim,swims
swing,swings
swot,swots
take,takes
talk,talks
tap,taps
taste,tastes
tax,taxes
teach,teaches
tear,tears
tee,tees
tell,tells
tempt,tempts
tend,tends
terminate,terminates
terrify,terrifies
test,tests
thank,thanks
thrive,thrives
throw,throws
thrust,thrusts
thump,thumps
tie,ties
tire,tires
toss,tosses
touch,touches
train,trains
trample,tramples
transfer,transfers
transform,transforms
translate,translates
trap,traps
travel,travels
tread,treads
treasure,treasures
treat,treats
tree,trees
tremble,trembles
triumph,triumphs
trust,trusts
try,tries
turn,turns
type,types
typeset,typesets
understand,understands
undo,undoes
uproot,uproots
upset,upsets
urge,urges
use,uses
utter,utters
value,values
vanish,vanishes
vary,varies
verify,verifies
vex,vexes
vie,vies
view,views
violate,violates
visit,visits
vomit,vomits
vote,votes
wait,waits
wake,wakes
walk,walks
wander,wanders
want,wants
warn,warns
waste,wastes
watch,watches
water,waters
wave,waves
wax,waxes
waylay,waylays
wear,wears
weave,weaves
wed,weds
weep,weeps
weigh,weighs
welcome,welcomes
wend,wends
wet,wets
whip,whips
whisper,whispers
win,wins
wind,winds
wish,wishes
withdraw,withdraws
work,works
worry,worries
worship,worships
wring,wrings
write,writes
yawn,yawns
yell,yells
yield,yields
zinc,zincs
zoom,zooms
